# NroServico	NmeServico (FUSEX — RX/US/TC/RM)
40801012	RX - CRÂNIO - 2 INCIDÊNCIAS
40801020	RX - CRÂNIO - 3 INCIDÊNCIAS
40801039	RX - CRÂNIO - 4 INCIDÊNCIAS
40801047	RX - ORELHA, MASTÓIDES OU ROCHEDOS - BILATERAL
40801055	RX - ÓRBITAS - BILATERAL
40801063	RX - SEIOS DA FACE
40801071	RX - SELA TÚRCICA
40801080	RX - MAXILAR INFERIOR
40801098	RX - OSSOS DA FACE
40801101	RX - ARCOS ZIGOMÁTICOS OU MALAR OU APÓFISES ESTILÓIDES
40801110	RX - ARTICULAÇÃO TEMPOROMANDIBULAR - BILATERAL
40801128	RX - ADENÓIDES OU CAVUM
40801209	RX - INCIDÊNCIA ADICIONAL DE CRÂNIO OU FACE
40802019	RX - COLUNA CERVICAL - 3 INCIDÊNCIAS
40802027	RX - COLUNA CERVICAL - 5 INCIDÊNCIAS
40802035	RX - COLUNA DORSAL - 2 INCIDÊNCIAS
40802043	RX - COLUNA DORSAL - 4 INCIDÊNCIAS
40802051	RX - COLUNA LOMBO-SACRA - 3 INCIDÊNCIAS
40802060	RX - COLUNA LOMBO-SACRA - 5 INCIDÊNCIAS
40802078	RX - SACRO-COCCIX
40802086	RX - COLUNA DORSO-LOMBAR PARA ESCOLIOSE
40802094	RX - COLUNA TOTAL PARA ESCOLIOSE (TELESPONDILOGRAFIA)
40802116	RX - INCIDÊNCIA ADICIONAL DE COLUNA
40803015	RX - ESTERNO
40803023	RX - ARTICULAÇÃO ESTERNOCLAVICULAR
40803031	RX - COSTELAS - POR HEMITÓRAX
40803040	RX - CLAVÍCULA
40803058	RX - OMOPLATA OU ESCÁPULA
40803066	RX - ARTICULAÇÃO ACROMIOCLAVICULAR
40803074	RX - ARTICULAÇÃO ESCAPULOUMERAL (OMBRO)
40803082	RX - BRAÇO
40803090	RX - COTOVELO
40803104	RX - ANTEBRAÇO
40803112	RX - PUNHO
40803120	RX - MÃO OU QUIRODÁCTILO
40803139	RX - MÃOS E PUNHOS PARA IDADE ÓSSEA
40803147	RX - INCIDÊNCIA ADICIONAL DE MEMBRO SUPERIOR
40803155	RX - ESCAFÓIDE
40804011	RX - BACIA
40804020	RX - ARTICULAÇÕES SACROILÍACAS
40804038	RX - ARTICULAÇÃO COXOFEMORAL (QUADRIL)
40804046	RX - COXA
40804054	RX - JOELHO
40804062	RX - PATELA
40804070	RX - PERNA
40804089	RX - ARTICULAÇÃO TIBIOTÁRSICA (TORNOZELO)
40804097	RX - PÉ OU PODODÁCTILO
40804100	RX - CALCÂNEO
40804119	RX - ESCANOMETRIA
40804127	RX - PANORÂMICA DOS MEMBROS INFERIORES
40804135	RX - INCIDÊNCIA ADICIONAL DE MEMBRO INFERIOR
40805018	RX - TÓRAX - 1 INCIDÊNCIA
40805026	RX - TÓRAX - 2 INCIDÊNCIAS
40805034	RX - TÓRAX - 3 INCIDÊNCIAS
40805042	RX - TÓRAX - 4 INCIDÊNCIAS
40805077	RX - LARINGE OU HIPOFARINGE OU PESCOÇO (PARTES MOLES)
40808017	RX - ABDOME SIMPLES
40808025	RX - ABDOME AGUDO
40808041	MAMOGRAFIA DIGITAL BILATERAL
40808114	RX - ESQUELETO (INCIDÊNCIAS BÁSICAS DE: CRÂNIO, COLUNA, BACIA E MEMBROS)
40808360	LAUDO EVOLUTIVO DE MAMOGRAFIA POR PROCEDIMENTO
40808386	LAUDO EVOLUTIVO DE RAIO X POR PROCEDIMENTO
40901017	US - GLOBO OCULAR - BILATERAL
40901025	US - GLOBO OCULAR COM DOPPLER COLORIDO - BILATERAL
40901033	US - GLÂNDULAS SALIVARES (TODAS)
40901114	US - MAMAS
40901122	US - ABDOME TOTAL (ABDOME SUPERIOR, RINS, BEXIGA, AORTA, VEIA CAVA INFERIOR E ADRENAIS)
40901130	US - ABDOME SUPERIOR (FÍGADO, VIAS BILIARES, VESÍCULA, PÂNCREAS E BAÇO)
40901149	US - RETROPERITÔNIO (GRANDES VASOS OU ADRENAIS)
40901173	US - ABDOME INFERIOR MASCULINO (BEXIGA, PRÓSTATA E VESÍCULAS SEMINAIS)
40901181	US - ABDOME INFERIOR FEMININO (BEXIGA, ÚTERO, OVÁRIO E ANEXOS)
40901190	US - DERMATOLÓGICO - PELE E SUBCUTÂNEO
40901203	US - ÓRGÃOS SUPERFICIAIS (TIREÓIDE OU ESCROTO OU PÊNIS OU CRÂNIO)
40901211	US - ESTRUTURAS SUPERFICIAIS (CERVICAL OU AXILA OU MÚSCULO OU TENDÃO)
40901220	US - ARTICULAR (POR ARTICULAÇÃO)
40901238	US - OBSTÉTRICA
40901246	US - OBSTÉTRICA COM DOPPLER COLORIDO
40901254	US - OBSTÉTRICA COM TRANSLUCÊNCIA NUCAL
40901262	US - OBSTÉTRICA MORFOLÓGICA
40901270	US - OBSTÉTRICA GESTAÇÃO MÚLTIPLA: CADA FETO
40901289	US - OBSTÉTRICA GESTAÇÃO MÚLTIPLA COM DOPPLER COLORIDO: CADA FETO
40901300	US - TRANSVAGINAL (ÚTERO, OVÁRIO, ANEXOS E VAGINA)
40901319	US - TRANSVAGINAL PARA CONTROLE DE OVULAÇÃO (3 OU MAIS EXAMES)
40901335	US - PRÓSTATA TRANSRETAL (NÃO INCLUI ABDOME INFERIOR MASCULINO)
40901351	DOPPLER COLORIDO TRANSFONTANELA
40901360	DOPPLER COLORIDO DE VASOS CERVICAIS ARTERIAIS BILATERAL (CARÓTIDAS E VERTEBRAIS)
40901378	DOPPLER COLORIDO DE VASOS CERVICAIS VENOSOS BILATERAL (SUBCLÁVIAS E JUGULARES)
