codigo	nome	valor_individual	valor_empresarial
10101012	CONSULTA EM CONSULTORIO (NO HORARIO NORMAL OU PRE ESTABELECIDO)	134.79	134.79
10101039	CONSULTA EM PRONTO SOCORRO	134.79	134.79
10102019	VISITA HOSPITALAR (PACIENTE INTERNADO)	80.86	80.86
10103015	ATENDIMENTO AO RECEM-NASCIDO EM BERCARIO	189.45	189.45
10103023	ATENDIMENTO AO RECEM-NASCIDO EM SALA DE PARTO PARTO NORMAL OU OPERATORIO DE BAIXO RISCO	321.40	321.40
10103031	ATENDIMENTO AO RECEM-NASCIDO EM SALA DE PARTO PARTO NORMAL OU OPERATORIO DE ALTO RISCO	347.61	347.61
10104011	ATENDIMENTO DO INTENSIVISTA DIARISTA POR DIA E POR PACIENTE	89.93	89.93
10104020	ATENDIMENTO MEDICO DO INTENSIVISTA EM UTI GERAL OU PEDIATRICA PLANTAO DE 12 HORAS - POR PACIENTE	205.82	205.82
10106014	ACONSELHAMENTO GENETICO	222.58	222.58
10106030	ATENDIMENTO AO FAMILIAR DO ADOLESCENTE	49.72	49.72
10106049	ATENDIMENTO PEDIATRICO A GESTANTES (3 TRIMESTRE)	85.65	85.65
10106154	ATENDIMENTO AMBULATORIAL OFTALMOLOGICO DE CRIANCA PRE-VERBAL <4 ANOS OU CRIANCAS COM DEFICIT INTELECTUAL, DIFICULDADE DE COMUNICACAO OU POUCO COLABORATIVAS, REALIZADO EM CONSULTORIO	134.79	134.79
20101015	ACOMPANHAMENTO CLINICO AMBULATORIAL POS-TRANSPLANTE RENAL - POR AVALIACAO	95.91	95.91
20101023	ANALISE DA PROPORCIONALIDADE CINEANTROPOMETRICA	13.46	13.46
20101074	AVALIACAO NUTROLOGICA (INCLUI CONSULTA)	121.84	121.84
20101082	AVALIACAO NUTROLOGICA PRE E POS-CIRURGIA BARIATRICA (INCLUI CONSULTA)	120.82	120.82
20101104	AVALIACAO DA COMPOSICAO CORPORAL POR BIOIMPEDANCIOMETRIA	22.57	22.57
20101171	REJEICAO DE ENXERTO RENAL - TRATAMENTO AMBULATORIAL - AVALIACAO CLINICA DIARIA	82.05	82.05
20101198	TESTE E ADAPTACAO DE LENTE DE CONTATO (SESSAO) - BINOCULAR	20.81	20.81
20101201	AVALIACAO CLINICA E ELETRONICA DE PACIENTE PORTADORDE DISPOSITIVO CARDIACO ELETRONICO IMPLANTAVEL (MARCA-PASSO, ESTIMULADOR MULTISSITIO/RESSINCRONIZADOR, DESFIBRILADOR OU MONITOR DE EVENTOS)	92.20	92.20
20101210	ACOMPANHAMENTO CLINICO AMBULATORIAL POS-TRANSPLANTE DE CORNEA -POR AVALIACAO DO 11A AO 30A DIA ATE 3 AVALIACOES	115.20	115.20
20101228	ACOMPANHAMENTO CLINICO AMBULATORIAL POS-TRANSPLANTE DE MEDULA OSSEA	121.84	121.84
20101244	AVALIACAO E SELECAO PARA IMPLANTE COCLEAR UNILATERAL	120.82	120.82
20101252	ATIVACAO DO IMPLANTE COCLEAR UNILATERAL	126.36	126.36
20101260	MAPEAMENTO E BALANCEAMENTO DOS ELETRODOS DO IMPLANTE COCLEAR UNILATERAL	125.74	125.74
20101279	POTENCIAL EVOCADO ELETRICAMENTE NO SISTEMA AUDITIVO CENTRAL	95.88	95.88
20101287	REFLEXO ESTAPEDIANO ELICIADO ELETRICAMENTE UNILATERAL	91.56	91.56
20101295	TROCA DO PROCESSADOR DE AUDIO DO IMPLANTE COCLEAR UNILATERAL	121.40	121.40
20101368	TESTE DE PROVOCACAO ORAL TPO COM ALIMENTOS	82.46	82.46
20101465	ACOMPANHAMENTO CLINICO AMBULATORIAL POS-TRANSPLANTE HEPATICO	92.14	92.14
20102011	HOLTER DE 24 HORAS - 2 OU MAIS CANAIS - ANALOGICO	89.99	89.99
20102020	HOLTER DE 24 HORAS - 3 CANAIS - DIGITAL	173.37	173.37
20102038	MONITORIZACAO AMBULATORIAL DA PRESSAO ARTERIAL - MAPA (24 HORAS)	107.97	107.97
20102062	MONITOR DE EVENTOS SINTOMATICOS POR 15 A 30 DIAS (LOOPER)	125.97	125.97
20102070	TILT TESTE	331.53	331.53
20102097	SISTEMA HOLTER - 12 HORAS - 2 OU MAIS CANAIS	70.54	70.54
20102160	MONITORIZACAO AMBULATORIAL DA PRESSAO ARTERIAL DE 5 DIAS - MAPA 5D	125.97	125.97
20103018	ADAPTACAO E TREINAMENTO DE RECURSOS OPTICOS PARA VISAO SUBNORMAL POR SESSAO - BINOCULAR	21.32	21.32
20103026	AMPUTACAO BILATERAL (PREPARACAO DO COTO)	14.57	14.57
20103034	AMPUTACAO BILATERAL (TREINAMENTO PROTETICO)	21.46	21.46
20103042	AMPUTACAO UNILATERAL (PREPARACAO DO COTO)	12.22	12.22
20103050	AMPUTACAO UNILATERAL (TREINAMENTO PROTETICO)	17.17	17.17
20103069	ASSISTENCIA FISIATRICA RESPIRATORIA EM PRE E POS-OPERATORIO DE CONDICOES CIRURGICAS	13.34	13.34
20103077	ATAXIAS	12.22	12.22
20103093	ATENDIMENTO FISIATRICO NO PRE E POS-OPERATORIO DE PACIENTES PARA PREVENCAO DE SEQUELAS	12.22	12.22
20103107	ATENDIMENTO FISIATRICO NO PRE E POS-PARTO	12.22	12.22
20103115	ATIVIDADE REFLEXA OU APLICACAO DE TECNICA CINESIOTERAPICA ESPECIFICA	20.81	20.81
20103131	BIOFEEDBACK COM EMG	40.88	40.88
20103140	BLOQUEIO FENOLICO, ALCOOLICO OU COM TOXINA BOTULINICA POR SEGMENTO CORPORAL	224.51	224.51
20103158	CONFECCAO DE ORTESES EM MATERIAL TERMO-SENSIVEL (POR UNIDADE)	22.54	22.54
20103166	CONFECCAO DE PROTESE IMEDIATA	128.72	128.72
20103174	CONFECCAO DE PROTESE PROVISORIA	107.25	107.25
20103182	DESVIOS POSTURAIS DA COLUNA VERTEBRAL	12.22	12.22
20103190	DISFUNCAO VESICO-URETRAL	12.22	12.22
20103204	DISTROFIA SIMPATICO-REFLEXA	12.22	12.22
20103212	DISTURBIOS CIRCULATORIOS ARTERIO-VENOSOS E LINFATICOS	12.22	12.22
20103220	DOENCAS PULMONARES ATENDIDAS EM AMBULATORIO	12.22	12.22
20103239	EXERCICIOS DE ORTOPTICA POR SESSAO	11.65	11.65
20103247	EXERCICIOS PARA REABILITACAO DO ASMATICO (ERAC) - POR SESSAO COLETIVA	11.91	11.91
20103255	EXERCICIOS PARA REABILITACAO DO ASMATICO (ERAI) - POR SESSAO INDIVIDUAL	16.62	16.62
20103263	HEMIPARESIA	14.84	14.84
20103271	HEMIPLEGIA	14.84	14.84
20103280	HEMIPLEGIA E HEMIPARESIA COM AFASIA	12.22	12.22
20103298	HIPO OU AGENESIA DE MEMBROS	14.56	14.56
20103301	INFILTRACAO DE PONTO GATILHO POR MUSCULO OU AGULHAMENTO SECO POR MUSCULO	144.14	144.14
20103310	LESAO NERVOSA PERIFERICA AFETANDO MAIS DE UM NERVO COM ALTERACOES SENSITIVAS E/OU MOTORAS	12.22	12.22
20103328	LESAO NERVOSA PERIFERICA AFETANDO UM NERVO COM ALTERACOES SENSITIVAS E/OU MOTORAS	12.22	12.22
20103344	MIOPATIAS	12.22	12.22
20103360	PACIENTE COM D.P.O.C. EM ATENDIMENTO AMBULATORIAL NECESSITANDO REEDUCACAO E REABILITACAO RESPIRATORIA	12.22	12.22
20103379	PACIENTE EM POS-OPERATORIO DE CIRURGIA CARDIACA, ATENDIDO EM AMBULATORIO, DUAS A TRES VEZES POR SEMANA	12.22	12.22
20103387	PACIENTES COM DOENCA ISQUEMICA DO CORACAO, ATENDID EM AMBULATORIO DE 8 A 24 SEMANAS	12.22	12.22
20103395	PACIENTES COM DOENCA ISQUEMICA DO CORACAO, ATENDIDO EM AMBULATORIO, ATE 8 SEMANAS DE PROGRAMA	12.22	12.22
20103409	PACIENTES COM DOENCAS NEURO-MUSCULO-ESQUELETICAS COM ENVOLVIMENTO TEGUMENTAR	12.22	12.22
20103417	PACIENTES SEM DOENCA CORONARIANA CLINICAMENTE MANIFESTA, MAS CONSIDERADA DE ALTO RISCO, ATENDIDO EM AMBULATORIO, DUAS A TRES VEZES POR SEMANA	12.22	12.22
20103425	PARALISIA CEREBRAL	14.84	14.84
20103433	PARALISIA CEREBRAL COM DISTURBIO DE COMUNICACAO	17.17	17.17
20103441	PARAPARESIA/TETRAPARESIA	14.56	14.56
20103450	PARAPLEGIA E TETRAPLEGIA	14.56	14.56
20103468	PARKINSON	12.22	12.22
20103476	PATOLOGIA NEUROLOGICA COM DEPENDENCIA DE ATIVIDADES DA VIDA DIARIA	23.59	23.59
20103484	PATOLOGIA OSTEOMIOARTICULAR EM UM MEMBRO	12.22	12.22
20103492	PATOLOGIA OSTEOMIOARTICULAR EM DOIS OU MAIS MEMBROS	14.84	14.84
20103506	PATOLOGIA OSTEOMIOARTICULAR EM UM SEGMENTO DA COLUNA	12.22	12.22
20103514	PATOLOGIA OSTEOMIOARTICULAR EM DIFERENTES SEGMENTOS DA COLUNA	14.84	14.84
20103522	PATOLOGIAS OSTEOMIOARTICULARES COM DEPENDENCIA DE ATIVIDADES DA VIDA DIARIA	23.59	23.59
20103530	RECUPERACAO FUNCIONAL POS-OPERATORIA OU POR IMOBILIZACAO DA PATOLOGIA VERTEBRAL	12.22	12.22
20103565	PROCESSOS INFLAMATORIOS PELVICOS	12.22	12.22
20103611	QUEIMADOS - SEGUIMENTO AMBULATORIAL PARA PREVENCAO DE SEQUELAS (POR SEGMENTO)	12.22	12.22
20103620	REABILITACAO DE PACIENTE COM ENDOPROTESE	16.43	16.43
20103638	REABILITACAO LABIRINTICA POR SESSAO	23.70	23.70
20103646	REABILITACAO PERINEAL COM BIOFEEDBACK	138.17	138.17
20103654	RECUPERACAO FUNCIONAL DE DISTURBIOS CRANIO-FACIAIS	13.64	13.64
20103662	RECUPERACAO FUNCIONAL POS-OPERATORIA OU POS-IMOBILIZACAO GESSADA DE PATOLOGIA OSTEOMIOARTICULAR COM COMPLICACOES NEUROVASCULARES AFETANDO UM MEMBRO	14.99	14.99
20103670	RECUPERACAO FUNCIONAL POS-OPERATORIA OU POS-IMOBILIZACAO GESSADA DE PATOLOGIA OSTEOMIOARTICULAR COM COMPLICACOES NEUROVASCULARES AFETANDO MAIS DE UM M EMBRO	19.30	19.30
20103689	RETARDO DO DESENVOLVIMENTO PSICOMOTOR	17.17	17.17
20103697	SEQUELAS DE TRAUMATISMOS TORACICOS E ABDOMINAIS	12.22	12.22
20103700	SEQUELAS EM POLITRAUMATIZADOS (EM DIFERENTES SEGMENTOS)	21.67	21.67
20103719	SINUSITES	12.22	12.22
20103727	REABILITACAO CARDIACA SUPERVISIONADA. PROGRAMA DE 12 SEMANAS. DUAS A TRES SESSOES POR SEMANA POR SESSAO	12.22	12.22
20103743	EXERCICIOS DE PLEOPTICA	11.77	11.77
20104014	ACTINOTERAPIA (POR SESSAO)	13.91	13.91
20104022	APLICACAO DE HIPOSSENSIBILIZANTE - EM CONSULTORIO AHC EXCLUSIVE O ALERGENO - PLANEJAMENTO TECNICO PARA	14.65	14.65
20104049	CATETERISMO VESICAL EM RETENCAO URINARIA	42.05	42.05
20104057	CAUTERIZACAO QUIMICA VESICAL	79.88	79.88
20104065	CERUMEN - REMOCAO - UNILATERAL	33.46	33.46
20104073	CRIOTERAPIA (GRUPO DE ATE 5 LESOES)	55.20	55.20
20104081	CURATIVOS EM GERAL COM ANESTESIA, EXCETO QUEIMADOS	17.51	17.51
20104090	CURATIVO DE EXTREMIDADES DE ORIGEM VASCULAR	57.40	57.40
20104103	CURATIVOS EM GERAL SEM ANESTESIA, EXCETO QUEIMADOS	17.51	17.51
20104111	DILATACAO URETRAL (SESSAO)	96.10	96.10
20104120	FOTOTERAPIA COM UVA PUVA POR SESSAO	36.58	36.58
