codigo	nome	valor
40801012	RX - CRÂNIO - 2 INCIDÊNCIAS	31.01
40801020	RX - CRÂNIO - 3 INCIDÊNCIAS	33.96
40801039	RX - CRÂNIO - 4 INCIDÊNCIAS	44.46
40801047	RX - ORELHA, MASTÓIDES OU ROCHEDOS - BILATERAL	45.79
40801055	RX - ÓRBITAS - BILATERAL	34.09
40801063	RX - SEIOS DA FACE	32.18
40801071	RX - SELA TÚRCICA	30.99
40801080	RX - MAXILAR INFERIOR	30.99
40801098	RX - OSSOS DA FACE	34.09
40801101	RX - ARCOS ZIGOMÁTICOS OU MALAR OU APÓFISES ESTILÓIDES	32.18
40801110	RX - ARTICULAÇÃO TEMPOROMANDIBULAR - BILATERAL	34.09
40801128	RX - ADENÓIDES OU CAVUM	28.99
40801209	RX - INCIDÊNCIA ADICIONAL DE CRÂNIO OU FACE	11.96
40802019	RX - COLUNA CERVICAL - 3 INCIDÊNCIAS	30.71
40802027	RX - COLUNA CERVICAL - 5 INCIDÊNCIAS	42.98
40802035	RX - COLUNA DORSAL - 2 INCIDÊNCIAS	33.81
40802043	RX - COLUNA DORSAL - 4 INCIDÊNCIAS	48.27
40802051	RX - COLUNA LOMBO-SACRA - 3 INCIDÊNCIAS	35.29
40802060	RX - COLUNA LOMBO-SACRA - 5 INCIDÊNCIAS	48.27
40802078	RX - SACRO-COCCIX	32.43
40802086	RX - COLUNA DORSO-LOMBAR PARA ESCOLIOSE	43.85
40802094	RX - COLUNA TOTAL PARA ESCOLIOSE (TELESPONDILOGRAFIA)	62.78
40802116	RX - INCIDÊNCIA ADICIONAL DE COLUNA	13.40
40803015	RX - ESTERNO	32.49
40803023	RX - ARTICULAÇÃO ESTERNOCLAVICULAR	30.71
40803031	RX - COSTELAS - POR HEMITÓRAX	32.98
40803040	RX - CLAVÍCULA	31.01
40803058	RX - OMOPLATA OU ESCÁPULA	32.49
40803066	RX - ARTICULAÇÃO ACROMIOCLAVICULAR	29.82
40803074	RX - ARTICULAÇÃO ESCAPULOUMERAL (OMBRO)	29.82
40803082	RX - BRAÇO	31.01
40803090	RX - COTOVELO	28.99
40803104	RX - ANTEBRAÇO	30.18
40803112	RX - PUNHO	30.77
40803120	RX - MÃO OU QUIRODÁCTILO	28.99
40803139	RX - MÃOS E PUNHOS PARA IDADE ÓSSEA	28.70
40803147	RX - INCIDÊNCIA ADICIONAL DE MEMBRO SUPERIOR	11.69
40803155	RX - ESCAFÓIDE	37.85
40804011	RX - BACIA	30.38
40804020	RX - ARTICULAÇÕES SACROILÍACAS	31.54
40804038	RX - ARTICULAÇÃO COXOFEMORAL (QUADRIL)	31.99
40804046	RX - COXA	32.98
40804054	RX - JOELHO	30.18
40804062	RX - PATELA	31.90
40804070	RX - PERNA	32.15
40804089	RX - ARTICULAÇÃO TIBIOTÁRSICA (TORNOZELO)	28.99
40804097	RX - PÉ OU PODODÁCTILO	30.18
40804100	RX - CALCÂNEO	28.99
40804119	RX - ESCANOMETRIA	31.21
