codigo	nome	valor
40801012	RX - CRÂNIO - 2 INCIDÊNCIAS	35.00
40801020	RX - CRÂNIO - 3 INCIDÊNCIAS	40.00
40801039	RX - CRÂNIO - 4 INCIDÊNCIAS	50.00
40801047	RX - ORELHA, MASTÓIDES OU ROCHEDOS - BILATERAL	25.00
40801055	RX - ÓRBITAS - BILATERAL	35.00
40801063	RX - SEIOS DA FACE	35.00
40801071	RX - SELA TÚRCICA	35.00
40801080	RX - MAXILAR INFERIOR	35.00
40801098	RX - OSSOS DA FACE	35.00
40801101	RX - ARCOS ZIGOMÁTICOS OU MALAR OU APÓFISES ESTILÓIDES	35.00
40801110	RX - ARTICULAÇÃO TEMPOROMANDIBULAR - BILATERAL	30.00
40801128	RX - ADENÓIDES OU CAVUM	30.00
40801209	RX - INCIDÊNCIA ADICIONAL DE CRÂNIO OU FACE	15.00
40802019	RX - COLUNA CERVICAL - 3 INCIDÊNCIAS	30.00
40802027	RX - COLUNA CERVICAL - 5 INCIDÊNCIAS	35.00
40802035	RX - COLUNA DORSAL - 2 INCIDÊNCIAS	30.00
40802043	RX - COLUNA DORSAL - 4 INCIDÊNCIAS	50.00
40802051	RX - COLUNA LOMBO-SACRA - 3 INCIDÊNCIAS	36.00
40802060	RX - COLUNA LOMBO-SACRA - 5 INCIDÊNCIAS	45.00
40802078	RX - SACRO-COCCIX	30.00
40802086	RX - COLUNA DORSO-LOMBAR PARA ESCOLIOSE	40.00
40802094	RX - COLUNA TOTAL PARA ESCOLIOSE (TELESPONDILOGRAFIA)	90.00
40802116	RX - INCIDÊNCIA ADICIONAL DE COLUNA	15.00
40803015	RX - ESTERNO	30.00
40803023	RX - ARTICULAÇÃO ESTERNOCLAVICULAR	30.00
40803031	RX - COSTELAS - POR HEMITÓRAX	35.00
40803040	RX - CLAVÍCULA	30.00
40803058	RX - OMOPLATA OU ESCÁPULA	30.00
40803066	RX - ARTICULAÇÃO ACROMIOCLAVICULAR	30.00
40803074	RX - ARTICULAÇÃO ESCAPULOUMERAL (OMBRO)	30.00
40803082	RX - BRAÇO	30.00
40803090	RX - COTOVELO	30.00
40803104	RX - ANTEBRAÇO	30.00
40803112	RX - PUNHO	30.00
40803120	RX - MÃO OU QUIRODÁCTILO	28.00
40803139	RX - MÃOS E PUNHOS PARA IDADE ÓSSEA	30.00
40803147	RX - INCIDÊNCIA ADICIONAL DE MEMBRO SUPERIOR	15.00
40803155	RX - ESCAFÓIDE	30.00
40804011	RX - BACIA	30.00
40804020	RX - ARTICULAÇÕES SACROILÍACAS	30.00
40804038	RX - ARTICULAÇÃO COXOFEMORAL (QUADRIL)	30.00
40804046	RX - COXA	30.00
40804054	RX - JOELHO	30.00
40804062	RX - PATELA	30.00
40804070	RX - PERNA	30.00
40804089	RX - ARTICULAÇÃO TIBIOTÁRSICA (TORNOZELO)	30.00
40804097	RX - PÉ OU PODODÁCTILO	30.00
40804100	RX - CALCÂNEO	30.00
40804119	RX - ESCANOMETRIA	30.00
40804127	RX - PANORÂMICA DOS MEMBROS INFERIORES	40.00
40804135	RX - INCIDÊNCIA ADICIONAL DE MEMBRO INFERIOR	15.00
40805018	RX - TÓRAX - 1 INCIDÊNCIA	30.00
40805026	RX - TÓRAX - 2 INCIDÊNCIAS	30.00
40805034	RX - TÓRAX - 3 INCIDÊNCIAS	35.00
40805042	RX - TÓRAX - 4 INCIDÊNCIAS	45.00
40805077	RX - LARINGE OU HIPOFARINGE OU PESCOÇO (PARTES MOLES)	45.00
40808017	RX - ABDOME SIMPLES	25.00
40808025	RX - ABDOME AGUDO	40.00
40808033	MAMOGRAFIA CONVENCIONAL BILATERAL	115.00
40808041	MAMOGRAFIA DIGITAL BILATERAL	140.00
40808050	RX - AMPLIAÇÃO OU MAGNIFICAÇÃO DE LESÃO MAMÁRIA	35.00
40808114	RX - ESQUELETO (INCIDÊNCIAS BÁSICAS DE: CRÂNIO, COLUNA, BACIA E MEMBROS)	150.00
40901483	DOPPLER COLORIDO VENOSO DE MEMBRO INFERIOR - UNILATERAL	130.00
40901467	DOPPLER COLORIDO VENOSO DE MEMBRO SUPERIOR - UNILATERAL	130.00
