codigo	nome	valor
40101010	ECG convencional de ate 12 derivacoes	38.67
40801110	RX - Articulacao temporomandibular - bilateral	54.88
40101029	ECG de alta resolucao	179.86
40101037	Teste ergometrico computadorizado (inclui ECG basa	156.08
40101045	Teste ergometrico convencional - 3 ou mais derivac	112.12
40103161	EEG de rotina	213.55
40103196	EEGQ quantitativo (mapeamento cerebral)	147.42
40701018	Angiografia radioisotopica	522.54
40701026	Cintilografia com hemacias marcadas	358.34
40701034	Cintilografia do miocardio com duplo isotopo (perf	924.04
40701042	Cintilografia do miocardio com FDG-18 F, em camara	334.66
40701050	Cintilografia do miocardio necrose (infarto agudo)	439.45
40701069	Servico 40701069	385.40
40701077	Cintilografia do miocardio perfusao - repouso	273.82
40701085	Cintilografia sincronizada das camaras cardiacas -	160.87
40701093	Cintilografia sincronizada das camaras cardiacas -	289.50
40701107	Fluxo sanguineo das extremidades	308.06
40701115	Quantificacao de shunt da direita para a esquerda	286.32
40701123	Quantificacao de shunt periferico	439.45
40701131	Venografia radioisotopica	439.45
40701140	Cintilografia do miocardio perfusao - estresse fis Cintilografia do miocardio perfusao - estresse far	264.78
40702014	Cintilografia das glandulas salivares com ou sem e	249.88
40702022	Cintilografia do figado e do bac0	356.98
40702030	Servico 40702030	313.84
40702049	Cintilografia do figado e vias biliares	586.70
40702057	Cintilografia para deteccao de hemorragia digestor	197.55
40702065	Cintilografia para deteccao de hemorragia digestor	160.81
40702073	Cintilografia para determinacao do tempo de esvazi Cintilografia para estudo de transito esofagico (l	161.11
40702081	Cintilografia para estudo de transito esofagico (s	281.70
40702090	Cintilografia para pesquisa de diverticulo de Meck	187.99
40702103	Servico 40702103	121.83
40702111	Cintilografia para pesquisa de refluxo gastro-esof	255.09
40703010	Fluxo sanguineo hepatico (qualitativo e quantitati Cintilografia da tirebide e/ou captacao (iodo - 12	255.09
40703029	Cintilografia da tiredide e/ou captagao (iodo - 13	203.76
40703037	Cintilografia da tireoide e/ou captacao (tecnecio	432.91
40703045	Cintilografia das paratireoides	667.20
40703053	Cintilografia de corpo inteiro para pesquisa de me	184.09
40703061	Teste de estimulo com TsH recombinante	143.01
40703070	Servico 40703070	129.15
40703088	Teste de supressao da tireoide com T3	287.13
40704017	Teste do perclorato	403.40
40704025	Cintilografia renal dinarmica	251.51
40704033	Cintilografia renal dinamica com diuretico Cintilografia renal estatica (quantitativa ou qual	233.34
40704041	Cintilografia testicutar (escrotal)	54.88
40801128	Servico 40801128	47.54
40801136	Rx - Adenoides ou cavum	52.20
40801144	Rx - Panoramica de mandibula (ortopantomografia)	45.06
40801152	RX - Teleperfil em cefalostato - sem tracado	49.09
40801160	RX - Teleperfil em cefalostato - com tracado RX - Arcada dentaria (por arcada)	45.09
40801179	RX - Radiografia peri-apical	18.87
40801187	Rx - Radiografia oclusal	23.04
40801195	RX - Planigrafia linear de cranio ou sela turcica	104.41
40801209	Rx - Incidencia adicional de cranio ou face	19.82
40802019	Rx - Coluna cervical - 3 incidencias	49.96
40802027	Servico 40802027	70.16
40802035	Rx - Coluna cervical - 5 incidencias	54.19
40802043	RX - Coluna dorsal - 2 incidencias	77.20
40802051	Rx - Coluna dorsal - 4 incidencias	56.13
40802060	Rx - Coluna ombo-sacra - 3 incidencias	77.20
40802078	Rx - Coluna lombo-sacra - 5 incidencias	52.38
