# Complemento — página 7 do PDF Postal (ultrassonografia básica ausente no OCR)
# codigo	nome	valor
40812138	Cavernosografia	256.60
40812146	Farmaco-cavernosografia (dinamica)	313.69
40901017	US - Globo ocular - bilateral	133.73
40901025	US - Globo ocular com Doppler colorido - bilateral	249.34
40901033	US - Glandulas salivares (todas)	133.73
40901041	US - Toracico extracardiaco	94.19
40901050	Ecodopplercardiograma com contraste intracavitario	316.15
40901068	Ecodopplercardiograma com contraste para perfusao miocardica	748.57
40901076	Ecodopplercardiograma com estresse farmacologico	563.76
40901084	Ecodopplercardiograma fetal com mapeamento de fluxo colorido	298.59
40901092	Ecodopplercardiograma transesofagico (inclui transdutor)	563.76
40901106	Ecodopplercardiograma transtoracico	350.79
40901114	US - MAMAS	133.73
40901122	US - Abdome total (abdome superior, rins, bexiga, aorta, veia cava inferior e adrenais)	224.30
40901130	US - Abdome superior (figado, vias biliares, vesicula, pancreas e baco)	158.51
