codigo	nome	valor_sem_contraste	valor_com_contraste
41001010	TC - CRANIO OU SELA TURCICA OU ORBITAS	350.00	520.00
41001028	TC - MASTOIDES OU ORELHAS	350.00	520.00
41001036	TC - FACE OU SEIOS DA FACE	350.00	520.00
41001044	TC - ARTICULACOES TEMPOROMANDIBULARES	350.00	520.00
41001060	TC - PESCOCO (PARTES MOLES, LARINGE, TIREOIDE E FARINGE)	350.00	520.00
41001079	TC - TORAX	350.00	520.00
41001095	TC - ABDOME TOTAL (RETROPERITONIO)	450.00	600.00
41001109	TC - ABDOME SUPERIOR	450.00	600.00
41001117	TC - PELVE OU BACIA	450.00	600.00
41001125	TC - COLUNA CERVICAL OU DORSAL OU LOMBO-SACRA	350.00	520.00
41001141	TC - ARTICULACAO (UNILATERAL)	350.00	520.00
41001150	TC - SEGMENTO APENDICULAR (UNILATERAL)	350.00	520.00
41001362	TC - VIAS URINARIAS (APARELHO URINARIO)	450.00	600.00
41001168	ANGIO-TC CRANIO	500.00	500.00
41001370	ANGIOTOMOGRAFIA ARTERIAL DE CRANIO	500.00	500.00
41001389	ANGIOTOMOGRAFIA VENOSA DE CRANIO	500.00	500.00
41001397	ANGIOTOMOGRAFIA ARTERIAL DE PESCOCO	500.00	500.00
41001400	ANGIOTOMOGRAFIA VENOSA DE PESCOCO	500.00	500.00
41001419	ANGIOTOMOGRAFIA ARTERIAL DE TORAX	500.00	500.00
41001435	ANGIOTOMOGRAFIA ARTERIAL DE ABDOME SUPERIOR	700.00	700.00
41001443	ANGIOTOMOGRAFIA VENOSA DE ABDOME SUPERIOR	700.00	700.00
40808041	RX - A 1 ARTICULACAO E 1 PARTE DA COLUNA MAMOGRAFIA DIGITAL BILATERAL	150.00	150.00
40808025	RX - MAMOGRAFIA DIGITAL BILATERAL ABDOME AGUDO	70.00	70.00
40808017	RX - ABDOME AGUDO ABDOME SIMPLES	45.00	45.00
40801128	RX - ABDOME SIMPLES ADENOIDES OU CAVUM	45.00	45.00
40803104	RX - ADENOIDES OU CAVUM ANTEBRACO - UNILATERAL	45.00	45.00
40801101	RX - ANTEBRACO - UNILATERAL ARCOS ZIGOMATICOS OU MALAR OU APOFISES ESTILOIDES	45.00	45.00
