NroServico	NmeServico	DtaIniValidade	DtaFimValidade	NroCBO	NroPorte
40801012	RX - CRÂNIO - 2 INCIDÊNCIAS	6/1/2025	6/26/2033	0	
40801020	RX - CRÂNIO - 3 INCIDÊNCIAS	6/1/2025	6/26/2033	0	
40801039	RX - CRÂNIO - 4 INCIDÊNCIAS	6/1/2025	6/26/2033	0	
40801047	RX - ORELHA, MASTÓIDES OU ROCHEDOS - BILATERAL	6/1/2025	6/26/2033	0	
40801055	RX - ÓRBITAS - BILATERAL	6/1/2025	6/26/2033	0	
40801063	RX - SEIOS DA FACE	6/1/2025	6/26/2033	0	
40801071	RX - SELA TÚRCICA	6/1/2025	6/26/2033	0	
40801080	RX - MAXILAR INFERIOR	6/1/2025	6/26/2033	0	
40801098	RX - OSSOS DA FACE	6/1/2025	6/26/2033	0	
40801101	RX - ARCOS ZIGOMÁTICOS OU MALAR OU APÓFISES ESTILÓIDES	6/1/2025	6/26/2033	0	
40801110	RX - ARTICULAÇÃO TEMPOROMANDIBULAR - BILATERAL	6/1/2025	6/26/2033	0	
40801128	RX - ADENÓIDES OU CAVUM	6/1/2025	6/26/2033	0	
40801209	RX - INCIDÊNCIA ADICIONAL DE CRÂNIO OU FACE	6/1/2025	6/26/2033	0	
40802019	RX - COLUNA CERVICAL - 3 INCIDÊNCIAS	6/1/2025	6/26/2033	0	
40802027	RX - COLUNA CERVICAL - 5 INCIDÊNCIAS	6/1/2025	6/26/2033	0	
40802035	RX - COLUNA DORSAL - 2 INCIDÊNCIAS	6/1/2025	6/26/2033	0	
40802043	RX - COLUNA DORSAL - 4 INCIDÊNCIAS	6/1/2025	6/26/2033	0	
40802051	RX - COLUNA LOMBO-SACRA - 3 INCIDÊNCIAS	6/1/2025	6/26/2033	0	
40802060	RX - COLUNA LOMBO-SACRA - 5 INCIDÊNCIAS	6/1/2025	6/26/2033	0	
40802078	RX - SACRO-COCCIX	6/1/2025	6/26/2033	0	
40802086	RX - COLUNA DORSO-LOMBAR PARA ESCOLIOSE	6/1/2025	6/26/2033	0	
40802094	RX - COLUNA TOTAL PARA ESCOLIOSE (TELESPONDILOGRAFIA)	6/1/2025	6/26/2033	0	
40802116	RX - INCIDÊNCIA ADICIONAL DE COLUNA	6/1/2025	6/26/2033	0	
40803015	RX - ESTERNO	6/1/2025	6/26/2033	0	
40803023	RX - ARTICULAÇÃO ESTERNOCLAVICULAR	6/1/2025	6/26/2033	0	
40803031	RX - COSTELAS - POR HEMITÓRAX	6/1/2025	6/26/2033	0	
40803040	RX - CLAVÍCULA	6/1/2025	6/26/2033	0	
40803058	RX - OMOPLATA OU ESCÁPULA	6/1/2025	6/26/2033	0	
40803066	RX - ARTICULAÇÃO ACROMIOCLAVICULAR	6/1/2025	6/26/2033	0	
40803074	RX - ARTICULAÇÃO ESCAPULOUMERAL (OMBRO)	6/1/2025	6/26/2033	0	
40803082	RX - BRAÇO	6/1/2025	6/26/2033	0	
40803090	RX - COTOVELO	6/1/2025	6/26/2033	0	
40803104	RX - ANTEBRAÇO	6/1/2025	6/26/2033	0	
40803112	RX - PUNHO	6/1/2025	6/26/2033	0	
40803120	RX - MÃO OU QUIRODÁCTILO	6/1/2025	6/26/2033	0	
40803139	RX - MÃOS E PUNHOS PARA IDADE ÓSSEA	6/1/2025	6/26/2033	0	
40803147	RX - INCIDÊNCIA ADICIONAL DE MEMBRO SUPERIOR	6/1/2025	6/26/2033	0	
40803155	RX - ESCAFÓIDE	6/1/2025	6/26/2033	0	
40804011	RX - BACIA	6/1/2025	6/26/2033	0	
40804020	RX - ARTICULAÇÕES SACROILÍACAS	6/1/2025	6/26/2033	0	
40804038	RX - ARTICULAÇÃO COXOFEMORAL (QUADRIL)	6/1/2025	6/26/2033	0	
40804046	RX - COXA	6/1/2025	6/26/2033	0	
40804054	RX - JOELHO	6/1/2025	6/26/2033	0	
40804062	RX - PATELA	6/1/2025	6/26/2033	0	
40804070	RX - PERNA	6/1/2025	6/26/2033	0	
40804089	RX - ARTICULAÇÃO TIBIOTÁRSICA (TORNOZELO)	6/1/2025	6/26/2033	0	
40804097	RX - PÉ OU PODODÁCTILO	6/1/2025	6/26/2033	0	
40804100	RX - CALCÂNEO	6/1/2025	6/26/2033	0	
40804119	RX - ESCANOMETRIA	6/1/2025	6/26/2033	0	
40804127	RX - PANORÂMICA DOS MEMBROS INFERIORES	6/1/2025	6/26/2033	0	
40804135	RX - INCIDÊNCIA ADICIONAL DE MEMBRO INFERIOR	6/1/2025	6/26/2033	0	
40805018	RX - TÓRAX - 1 INCIDÊNCIA	6/1/2025	6/26/2033	0	
40805026	RX - TÓRAX - 2 INCIDÊNCIAS	6/1/2025	6/26/2033	0	
40805034	RX - TÓRAX - 3 INCIDÊNCIAS	6/1/2025	6/26/2033	0	
40805042	RX - TÓRAX - 4 INCIDÊNCIAS	6/1/2025	6/26/2033	0	
40805077	RX - LARINGE OU HIPOFARINGE OU PESCOÇO (PARTES MOLES)	6/1/2025	6/26/2033	0	
40808017	RX - ABDOME SIMPLES	6/1/2025	6/26/2033	0	
40808025	RX - ABDOME AGUDO	6/1/2025	6/26/2033	0	
40808041	MAMOGRAFIA DIGITAL BILATERAL	6/1/2025	6/26/2033	0	
40808114	RX - ESQUELETO (INCIDÊNCIAS BÁSICAS DE: CRÂNIO, COLUNA, BACIA E MEMBROS)	6/1/2025	6/26/2033	0	
40808360	LAUDO EVOLUTIVO DE MAMOGRAFIA POR PROCEDIMENTO	6/1/2025	6/26/2033	0	
40808386	LAUDO EVOLUTIVO DE RAIO X POR PROCEDIMENTO	6/1/2025	6/26/2033	0	
40901017	US - GLOBO OCULAR - BILATERAL	4/1/2024	6/26/2033	0	
40901025	US - GLOBO OCULAR COM DOPPLER COLORIDO - BILATERAL	4/1/2024	6/26/2033	0	
